	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Signature A	0.00612652408936248	0.00608203846449472	0.00608571872914726	0.00816982804795184	0.00607023775108118	0.0101120392825497	0.00611654323211488	0.0219403823704617	0.0102890545400834	0.0060850580148089	0.00612628966935921	0.0132750932005439	0.0082073038392181	0.00600989053674628	0.00607865577538517	0.006085773332943	0.0060966842987778	0.00605880915402675	0.0100578266747707	0.0102763033452576	0.0102345607075278	0.00611881404147068	0.00824289526071752	0.00609900829646044	0.0145744612779139	0.011570049246655	0.00604876821936462	0.00610626289817927	0.00615293268797326	0.00806892660772016	0.00817551021647952	0.00826245805503665	0.00809469781699524	0.0113848178999859	0.0276662859680903	0.00606198915744677	0.0206486646300292	0.00607902585754163	0.0222070124671743	0.0123555782527165	0.0121027989672144	0.0156064367316259	0.0235574578702894	0.0138200440454109	0.0145172279687248	0.0311943632317041	0.0204564494813547	0.0196276061899422	0.0061663488701897	0.00605830233009319	0.00609452768499867	0.0103812945088135	0.00812605352109218	0.00601474381442488	0.00814606790192278	0.00612639280733375	0.00822618454369851	0.00612394802396919	0.00611878805423456	0.00611038624706193	0.00607264089892367	0.00605408465147884	0.00608390400376904	0.00616936687068006	0.0153389217048903	0.0151764081363937	0.0275773183670908	0.0225784808155675	0.0130525834131316	0.0136092085261322	0.0222996868431419	0.00816596739389678	0.0060400474310442	0.0132810824691721	0.0112504234223814	0.0150482291189635	0.010302227731715	0.0123365910783502	0.0115992973082959	0.0193091456926233	0.00610692618846678	0.00956281618797769	0.00614314352481405	0.00819572840849453	0.00613615152006291	0.00822075639378167	0.00777648055665767	0.00965174924164172	0.00607422289202296	0.00607212454202747	0.00976896589926153	0.00800919171427813	0.00813981683690999	0.0103637341684229	0.00615018888123443	0.00820419045764115
Signature B	0.0057678240624628	0.00590653944691434	0.00598751397660229	0.00783985887564083	0.00604086088831331	0.00976815455974992	0.00593200464511932	0.0242073534793037	0.00972642097447714	0.00591908622178002	0.00594073550806602	0.0139881465501375	0.00779731064893341	0.00594647748215944	0.00595667761495838	0.00596091664113472	0.0057944916188816	0.00591752195902597	0.00985484674628821	0.00977911164666738	0.00965652841015988	0.00595843572029999	0.00788791248999153	0.00592612080026927	0.0136561629718766	0.0117907282537461	0.00593825607836634	0.00591362950442087	0.00593762290976794	0.00785228818798977	0.00792229441020186	0.00787665937083444	0.00776367634423705	0.0119440210432438	0.0294868501316593	0.00589547217404538	0.0194488510649037	0.00586020729128415	0.0239155250441383	0.0117401227821724	0.0118875292084179	0.0159370978100513	0.0259378502124281	0.0139794817568713	0.013802564143775	0.0287294942940621	0.021855225405604	0.019865780866865	0.00584343685210631	0.00599924837616571	0.00595156622441702	0.00966790530637497	0.00784461916733641	0.0059459344521217	0.00788814380833168	0.0059409251110141	0.00781801253043303	0.00592395507196782	0.00592820229244396	0.00590449585514935	0.00587355110873719	0.00584976826477299	0.00598487534390722	0.0058246715242026	0.0157778262188884	0.0158314201525097	0.0298514917184956	0.0235753054208748	0.0138996943597675	0.013849770723924	0.0238954987561126	0.00787139743908551	0.00597910047819752	0.0138646549886545	0.0119688395255256	0.0157606704189412	0.00983497172755192	0.0118094125218449	0.0118756812657367	0.0195307926418363	0.00592543948466717	0.00995793585603724	0.00595250347752392	0.00791617376529959	0.00590350781030768	0.0078030613811698	0.00797184997836867	0.00990271517426307	0.00590095850429734	0.00590218022162592	0.00989599485624537	0.00787840393173931	0.00780074104190966	0.0098010881640209	0.00591597207130031	0.00780739240549548
Signature C	0.00675027141395146	0.00673798141089354	0.00675982593442995	0.00916939517419707	0.00682097121802471	0.0113001226087868	0.0067112272167381	0.0142150053573154	0.0118132102157587	0.0066989347337151	0.00668952811645519	0.0108676242510251	0.00905322404533601	0.00674384271954458	0.00674865538519155	0.00677292483282279	0.00681495528598455	0.00665197553805093	0.0101347728803027	0.0120589583286229	0.0119686324344289	0.00672163980433613	0.0095036017671224	0.00670393447905637	0.0181994229260196	0.0103749347536756	0.0067079130496167	0.00670136627894212	0.00665869923358927	0.00924676173139193	0.00917469108346091	0.0093751708699517	0.00929681641290303	0.00946428008343404	0.0208560774102694	0.00667615255440823	0.0250234378153845	0.00673212497619343	0.016609833368618	0.0144755561148927	0.0130682498526347	0.0147553852003505	0.0159083993387334	0.0138824180849916	0.0177068346140316	0.0374792812920414	0.0172497061333887	0.0194383475976836	0.00677017439453448	0.00676783440020764	0.00675467455043621	0.0117039921213407	0.00926180986784039	0.00672496161259466	0.00940952045708013	0.00673610854766365	0.00903066633798764	0.00673403441417283	0.00683961419743463	0.00670296258044398	0.0066354442721681	0.00674475732993255	0.00669850792772194	0.00666216540073488	0.0134613127589984	0.0126219376318458	0.0197247544950638	0.0183288013462056	0.0100275467372494	0.0129757210110336	0.0148848887983968	0.00914850158682366	0.00674527294716421	0.0111764235027208	0.00944466519219438	0.0120719666073142	0.0123093316027681	0.0145226683512211	0.0108674708520757	0.0185781193276132	0.0067253305122327	0.00860985531642586	0.00680286613036982	0.00931547200645779	0.0067573828341776	0.00921275769036856	0.00784765472255262	0.00867641394313807	0.00673727459772464	0.00669703277319608	0.00984137439559206	0.00919548227392331	0.00913823762164455	0.012030258934767	0.00671438485428935	0.00915853430345908
