	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Signature A	0.00706724873235508	0.00699484747327473	0.00720781642442918	0.00881140065318932	0.00707297327800041	0.0107158128082598	0.00711169219970456	0.0171404837370762	0.010766216968778	0.007043494328176	0.00695063608845592	0.0121428595368802	0.00905651225729017	0.00715389756670353	0.00704617827474342	0.00702291289794094	0.00706680476815792	0.00708074311897638	0.0101240683378028	0.0107652371160819	0.0107830218786218	0.00708354067111747	0.00901672645450496	0.00705887461232633	0.0149330200538486	0.0111199969739256	0.00704801132602122	0.00703799077261021	0.00707519340962943	0.00870676152052105	0.0088175966155045	0.00890745856751916	0.00898408993691294	0.0104678781693849	0.0223896798605086	0.00702420693651171	0.0202983638625522	0.00705004097880652	0.0183776889173282	0.0127776240337214	0.0122850628067933	0.0142743046452805	0.0186657505476172	0.0135073536368668	0.0147034438394013	0.0292443718143371	0.0179673558396207	0.0182959265287574	0.00699772352216963	0.00712345554551791	0.00705838627428592	0.0106061664418349	0.00892277863728635	0.00712868003300116	0.00894202634726374	0.007097152633438	0.00879910668462928	0.00717853727221415	0.00716636424867651	0.0071353288636166	0.00704794119333722	0.00712655541968649	0.00717719032058265	0.00704083924921641	0.0138320121125169	0.0135365947686758	0.0218243338301374	0.0188991527148436	0.0115660363770137	0.0127587523918346	0.0175928843230385	0.00892108056351953	0.00709362234801231	0.012112199046567	0.0105760434666029	0.0133805807270199	0.010926284282103	0.0127334983199617	0.0111272642916941	0.0176968036262688	0.00705851064555605	0.00945165416726325	0.00709405849892605	0.00891304953451575	0.00708776382923213	0.00891449384462413	0.00840985656254899	0.00939426493833658	0.00708819136204089	0.00699586519780415	0.00996301952254523	0.00879412965257153	0.0087527539757805	0.0108626077172711	0.00706731686403774	0.00878391603355143
Signature B	0.00699781470378502	0.00699091416255509	0.00703078451705715	0.00874623883964258	0.00704901837357698	0.0105635925432232	0.00701736473803672	0.0179965324722848	0.0106550456884161	0.0069616284649922	0.00691142751920528	0.0120503420426948	0.00871688871150153	0.00699162934787023	0.00705973985522935	0.00701882198202622	0.00696604601095673	0.00698949733502296	0.0100412893510459	0.010745639182363	0.0106057150303544	0.00692825016486016	0.00872561727703753	0.00696200168327861	0.0145064131695565	0.011125381227789	0.00700461739451132	0.00693968526997291	0.00700372602967766	0.00893655566448521	0.00876789643608819	0.00873858397061412	0.00880454154628032	0.0107553825029004	0.023224807138399	0.00691752814953719	0.019435153249726	0.00701371299719627	0.0189192939551219	0.0122462152959642	0.0122737530812078	0.0147608819149856	0.0195044262088182	0.0134197565514063	0.0141814222257231	0.0285748708831349	0.0184497127589979	0.0182656335197033	0.00693733989165376	0.00702558514218946	0.0070594440882181	0.010434457103026	0.00882119250492587	0.00706928307345389	0.00883542817126453	0.00701273942357105	0.0087234897082469	0.00694790415080539	0.00709128443387058	0.0071322881258589	0.00698944625168314	0.007014321464565	0.00708415255070657	0.00702488958543476	0.01419211043663	0.0138052567562166	0.0226613637587066	0.0195326290883063	0.0118697605493876	0.0130430584680912	0.0183135913779562	0.00873583351074144	0.00698756449743211	0.0122872957893599	0.0107487299343753	0.0135393501014299	0.0106973282603951	0.0123323498426344	0.0110164617815894	0.0180595078830081	0.00700052255531134	0.00958074234577572	0.00704929543794441	0.00877740659201267	0.00703994913788394	0.00880364399402101	0.0084143355162818	0.00946199574954295	0.00698522695667935	0.00704891747402404	0.010099282175337	0.00884992762957699	0.00873551480272973	0.0106913521953611	0.00701670248447177	0.00892795610849829
Signature C	0.0070293776717711	0.00703490909572719	0.00706095547931809	0.00892664244137454	0.0069804040340428	0.0104094684108354	0.0069798932267234	0.0179376198022136	0.010680605518301	0.00701626294951209	0.00700081464938724	0.0121101158405546	0.00872916490141294	0.00701936505166612	0.00707909783823239	0.00697185973971437	0.00697208027374141	0.00693813074780248	0.0100350992471907	0.0106112804298399	0.0106100932846078	0.00687740794323161	0.00885923139753432	0.00709015654429917	0.0144100875127841	0.0111395092593331	0.0069353269486419	0.007077641113861	0.00694962466440299	0.00884930707712694	0.00892509436979168	0.00892271703859581	0.00891999740149314	0.0105415965124244	0.0228633081065066	0.00705716461364565	0.0199566920183658	0.0069730156321013	0.0187505498636805	0.0125405518861735	0.0122651724988682	0.0145410098136966	0.0192717326936942	0.0134671474229881	0.0145088459318093	0.0286833020258437	0.0182498967123663	0.0180792726355925	0.00701019940590679	0.00694533465836258	0.0070609468593889	0.0105155897527938	0.00877966925643229	0.00698140777836127	0.00885577787736079	0.00705819807083199	0.00869913615144821	0.00693607247344259	0.00697268779996158	0.00702261164686683	0.00699850246688949	0.00702656064063314	0.0069647902943429	0.00703335921649368	0.0141680747792762	0.0138517968909409	0.0224509253409111	0.0196114944256508	0.0117356216238573	0.0130789563692544	0.0181414501253181	0.00891313527200356	0.00702790431612264	0.0122850739909672	0.010562797032509	0.0134442207403449	0.0106630732930104	0.0125848984648611	0.011211111334721	0.0178571591529774	0.0070395436634672	0.00960255413015906	0.00713061391019052	0.0089270986261356	0.00691832912300021	0.00894182978204769	0.00831825604790845	0.00957851243655927	0.00702002945123085	0.00701416881781184	0.0100261961390724	0.00877115675820922	0.0088578911418106	0.0106374349864629	0.00710307761224232	0.00882616959862757
Signature D	0.00684501319091554	0.00674022003382224	0.00680393654665171	0.00859750865130846	0.00677604134700826	0.0101975095073525	0.00687886937775229	0.0196823821032971	0.0101301558835902	0.00682761755274603	0.00680150396806107	0.0127498940163848	0.00850763255533732	0.00678853300695052	0.00679542369976829	0.00682949507629199	0.00693607657897931	0.00683246505250737	0.010057815184217	0.0102867290035178	0.0103546046254088	0.00686579943290044	0.0086290189800945	0.00678981226702963	0.0138722827632081	0.0112683623326704	0.00681205195188624	0.00685174265851086	0.00678496153222821	0.00865651695298663	0.0086207345294029	0.00860484213290304	0.00855422467966586	0.0110691011596751	0.0246154326309565	0.00682331343421077	0.0192351756138808	0.00678221211387268	0.0201211977563623	0.0120066975321218	0.0117073228615773	0.0146634204192887	0.0211223692410993	0.0133876995487351	0.0137717395436249	0.0277532532182038	0.0187333242750865	0.0182576821394293	0.00688038623826968	0.00686871095027951	0.00686432048272629	0.0102970106915021	0.00844888715843732	0.00677277463961866	0.00853546999147355	0.00685308383710334	0.00873898497323072	0.00680281516398926	0.00684602091362365	0.0068565779617912	0.00683795325324465	0.00677750804966073	0.00687480419672554	0.006848666207378	0.0145216154337421	0.0143544912263605	0.0246314385355239	0.0206575137942394	0.0125650947470439	0.0133110854797105	0.0198826640816021	0.00857642167412873	0.00689655730708778	0.0126644887076024	0.0112302624639983	0.014337791979179	0.0103207027190466	0.0122590298221033	0.011426065201008	0.0181486026573362	0.0068209718469642	0.0097920809874513	0.00677723499642666	0.00858010347687928	0.00677999031848639	0.00853192107714733	0.00830649783565399	0.00970484529701994	0.00679234595803004	0.00682665108239712	0.00990381380849395	0.00847192998871717	0.00843170798380905	0.0103526127339722	0.00673220963852206	0.00852756376778255
