Query	Reference	Cosine_sim
Signature.B	SBS26	0.668581246264746
Signature.B	SBS28	0.415611691414407
Signature.B	SBS30	0.346808066910161
Signature.B	SBS31	0.384426109361616
Signature.B	SBS32	0.396835728997426
Signature.B	SBS33	0.489483843063034
Signature.B	SBS35	0.578466068866511
Signature.B	SBS38	0.250184159531399
Signature.B	SBS44	0.678820097146187
Signature.B	SBS52	0.271734303454153
Signature.B	SBS53	0.499849668445362
Signature.B	SBS57	0.43799440066887
Signature.B	SBS84	0.492643710436386
Signature.B	SBS87	0.333255882454767
Signature.B	SBS88	0.422754925564967
Signature.B	SBS90	0.26563447183667
Signature.B	SBS92	0.720543952869089
Signature.B	SBS93	0.524031191699111
Signature.B	SBS94	0.366937390983506
Signature.B	SBS95	0.464797303831036
Signature.B	SBS96	0.40778951888671
Signature.B	SBS97	0.54585980316551
Signature.B	SBS98	0.496894102284853
Signature.B	SBS99	0.496324355928666
Signature.B	SBS100	0.436184543907717
Signature.B	SBS101	0.501333254797934
Signature.B	SBS102	0.634264181851518
Signature.B	SBS103	0.655110836607017
Signature.B	SBS104	0.274442475502499
Signature.B	SBS105	0.427544128160207
Signature.B	SBS106	0.402527292865806
Signature.B	SBS107	0.523558833020064
Signature.B	SBS108	0.327420833577858
Signature.B	SBS109	0.34237906361897
Signature.B	SBS110	0.736686763317672
Signature.B	SBS111	0.552130897284498
Signature.B	SBS112	0.428473485731658
Signature.B	SBS113	0.472994416686835
Signature.B	SBS114	0.542957547395055
Signature.B	SBS115	0.25025252177051
Signature.B	SBS116	0.504829645267053
Signature.B	SBS117	0.735512015159615
Signature.B	SBS118	0.5383301722266
Signature.B	SBS119	0.515324910551073
Signature.B	SBS120	0.738052233802009
Signature.B	SBS121	0.356848945580834
Signature.B	SBS122	0.676498184304339
Signature.B	SBS123	0.662693987128928
Signature.B	SBS124	0.560610766775841
Signature.B	SBS125	0.701673331901444
Signature.B	SBS126	0.686028844707478
Signature.B	SBS127	0.6731485778752
Signature.B	SBS128	0.408385095428442
Signature.B	SBS129	0.220270507070142
Signature.B	SBS130	0.642431863225543
Signature.B	SBS131	0.482520373274632
Signature.B	SBS132	0.447401876675593
Signature.B	SBS133	0.437753694077476
Signature.B	SBS134	0.336466117333128
Signature.B	SBS135	0.42387282943899
Signature.B	SBS136	0.445667723252193
Signature.B	SBS137	0.289674315322852
Signature.B	SBS138	0.38976874543469
Signature.B	SBS139	0.555667784859485
Signature.B	SBS140	0.603262499037714
Signature.B	SBS141	0.576587034798078
Signature.B	SBS142	0.565448480934924
Signature.B	SBS143	0.45139410512402
Signature.B	SBS144	0.539218709028641
Signature.B	SBS145	0.591111233970282
Signature.B	SBS146	0.559843524572563
Signature.B	SBS147	0.462275181753091
Signature.B	SBS148	0.365647331793599
Signature.B	SBS149	0.555648029736029
Signature.B	SBS150	0.706702147177435
Signature.B	SBS151	0.598538928727655
Signature.B	SBS152	0.518729353131292
Signature.B	SBS153	0.605618591159963
Signature.B	SBS154	0.625220739578021
Signature.B	SBS155	0.617108399120736
Signature.B	SBS156	0.778732431544175
Signature.B	SBS157	0.777204455830172
Signature.B	SBS158	0.707441869288348
Signature.B	SBS159	0.627589769719445
Signature.B	SBS160	0.739005915082569
Signature.B	SBS161	0.539890087028657
Signature.B	SBS162	0.505538660786144
Signature.B	SBS163	0.616397520579671
Signature.B	SBS164	0.660143316664917
Signature.B	SBS165	0.575284177332008
Signature.B	SBS166	0.538248517907048
Signature.B	SBS167	0.727419781023261
Signature.B	SBS168	0.50627294250326
Signature.B	SBS169	0.451366082143905
