	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Signature A	0.00936504914493633	0.00937234564741042	0.00932819740715079	0.00924762300112125	0.00930430116927455	0.00937690346157024	0.00932330284499736	0.012536421567414	0.00945327484665666	0.0126325032188532	0.00928224498160977	0.00939167487207284	0.00928965175338776	0.012448594149717	0.00944180543712222	0.00932278797075601	0.0153789661100884	0.00934093159282443	0.00924670647209819	0.0092264766648882	0.00938250858188271	0.00929507823558161	0.00934732684151375	0.00940084299120502	0.0125123377748824	0.0122431779040567	0.00933866925661803	0.00930653745674187	0.00941408728224701	0.00929299638230711	0.00932859625987498	0.00943030131098191	0.00927874314366432	0.00918478946784505	0.00934788656645954	0.00941498751997431	0.0124165455607504	0.0092359806607781	0.00933829723369156	0.0123980696341631	0.00916196254088057	0.00935779383921838	0.00922041361208384	0.0123820942561782	0.00937235707407398	0.0153622911227156	0.0123573000291522	0.00933351349628473	0.00940858077819843	0.00929154768586678	0.0094509718839745	0.0123421210673964	0.00943625105703933	0.00949086823298001	0.0123757454678486	0.00935026157647177	0.00939540963648567	0.00923887664313971	0.00924413926641917	0.00934927184551224	0.00935405944954544	0.0123854117227386	0.00929241978995622	0.00937083874105104	0.00942929068593188	0.00932667830254008	0.00929644541355826	0.00928392199438651	0.00919632356275386	0.0155898308301852	0.00929867076216076	0.00941406128576332	0.0092710685643788	0.00933727766303561	0.0185776228545011	0.00944710955264487	0.00924175067363523	0.0152702554625871	0.00931613773702751	0.0092807649415686	0.00926690318411964	0.00941596147075815	0.00930363715941607	0.00921002171503073	0.00928861841833799	0.00942293942488838	0.0155218142403213	0.0154713034772092	0.00939368197458729	0.00930006491869738	0.00926199547968912	0.0122853107293492	0.00937052379926208	0.0125153178428823	0.0152272608380654	0.0186254118463465
Signature B	0.00922358997669664	0.00933200806513338	0.00932881888197629	0.00930839407747468	0.00934683129022559	0.00927426325994368	0.00930652463262173	0.0124140464318452	0.0092768825744412	0.0124577774647816	0.00927698915661925	0.00942118727697699	0.00935593654060123	0.0125119904331345	0.0092811922767071	0.00935002524162763	0.0153805024564198	0.00937895212043818	0.00923216615512279	0.0093660618368425	0.00930453961286794	0.00933206703778407	0.00924929766883062	0.0093451041427565	0.0123940888927539	0.0123170258670468	0.00928768196662339	0.00939332771281457	0.00936160838249089	0.00924420151245782	0.00927428150312001	0.0093681769263513	0.00922419352943334	0.00937736874663481	0.00934215295494393	0.00936805349285198	0.012381954698403	0.00934569937840443	0.00928246760147995	0.0124298570745652	0.00943238365721016	0.00938529304561031	0.00927970875151648	0.0124453140378112	0.00940851726199659	0.0152546600080377	0.0124830564323725	0.00924570564562357	0.00924584993348233	0.00942242170203008	0.00940461393986056	0.0124319987182184	0.00919975960831029	0.0092432185644089	0.0124191660695417	0.0093067878552492	0.00932291696498819	0.00933983211783295	0.00950634189575244	0.00943380228097153	0.00932604878302299	0.0123234248790499	0.00948521144370186	0.00933320416719329	0.00921705764953914	0.00929862039495127	0.00926857712183645	0.00929414723045878	0.00922479866739707	0.0156521260452577	0.00918341597686594	0.00928585932639818	0.00938554462200618	0.00920844705358019	0.0185278935132843	0.00940019826374118	0.00933434463013549	0.0155010754430663	0.00934303398754502	0.00928784107166497	0.00941460184105685	0.00942312352434194	0.00938117913038749	0.00924102188887544	0.00941670569997392	0.00933005895528326	0.0154429107171705	0.0155157264856387	0.00928285520972783	0.00944011730856826	0.00940293966144595	0.0124871786718113	0.00924185970778331	0.0123164262541678	0.0155011212730998	0.0186226660569018
Signature C	0.00922871302366108	0.00945880981603701	0.0092178299507994	0.00938132103047119	0.00929390770201535	0.00936724479512586	0.00930416607198746	0.0123302766527423	0.00946684946679981	0.0124162676546391	0.0092934271684057	0.00942277864516405	0.00927698315891963	0.0125201424007044	0.00925795892171292	0.00930720111546874	0.0154691792361681	0.00928163698707597	0.00922279269309375	0.00927995880374594	0.00922526530766658	0.00932657216780553	0.00948019277265877	0.00937857922094172	0.012354147860539	0.0125333253475737	0.00936774098867968	0.00933402284266887	0.00929066852568927	0.00941938055583785	0.00933284567536163	0.00918675328144488	0.00934852668752419	0.00927390163916624	0.00941282547082678	0.00932869014920796	0.0124698466297028	0.00932244975051551	0.00933244590239274	0.0123700849652588	0.00944171168944065	0.00914963834594232	0.00942693973156467	0.0123613469373663	0.00935261786488332	0.0157403629264311	0.0123897798251306	0.00931878378154402	0.00922041306409377	0.00943819291719789	0.00926751705179992	0.0123804132121069	0.00934327819224194	0.00932994368412376	0.0124178159787379	0.00931164360670538	0.00927101381075762	0.00935729022467954	0.00926694115171664	0.00922078630406194	0.00941457496853245	0.0126304415713364	0.00928519680790031	0.00928185112865814	0.00920395473507159	0.00919077622836002	0.00939256214788032	0.00924717797658655	0.00936005966049297	0.0153965860565798	0.00939439361167079	0.00934124952767622	0.00929048705477564	0.00929166529411832	0.0184716210590892	0.009429160369762	0.00932184161129229	0.0156454955756626	0.00924086099646483	0.00930253490044376	0.009252219514035	0.00932476421287183	0.00928392094680188	0.00938719851888215	0.00929778465289185	0.00920429956760654	0.0154067896521388	0.0155303378410681	0.00934453519044019	0.00927879132290167	0.00946290164103123	0.0125646914643552	0.00947401390073592	0.0123917442923811	0.0154989319802952	0.018272442682483
